22:04:09:04:28:38.6,Lunatic Woopir - f60d,Striker - 1f4b,우피르_곤봉던지기,755,0,0,0
22:04:09:04:28:39.6,Lunatic Woopir - 3cde,Sorceress - c4d5,우피르_곤봉던지기,436,0,0,0
22:04:09:04:28:39.6,Striker - 1f4b,Mayhem Warrior,Moon Flash Kick,377450,1,0,0
22:04:09:04:28:39.6,Striker - 1f4b,Lunatic Woopir - 63a8,Moon Flash Kick,201947,0,0,0
22:04:09:04:28:39.6,Sorceress - c4d5,Lunatic Woopir - 7441,Bleed,28555,0,0,0
22:04:09:04:28:40.6,Lunatic Woopir - b176,Striker - 1f4b,우피르_곤봉던지기,424,0,0,0
22:04:09:04:28:40.6,Sorceress - c4d5,Mayhem Warrior - 169d,Blaze,29263,0,0,0
22:04:09:04:28:40.6,Sorceress - c4d5,Mayhem Warrior - bf8e,Blaze,29691,0,0,0
22:04:09:04:28:40.6,Sorceress - c4d5,Mayhem Warrior - 225a,Blaze,54459,1,0,0
22:04:09:04:28:40.6,Sorceress - c4d5,Lunatic Woopir - 4493,Blaze,54687,1,0,0
22:04:09:04:28:40.6,Sorceress - c4d5,Lunatic Woopir - 3760,Blaze,29262,0,0,0
22:04:09:04:28:40.6,Sorceress - c4d5,Lunatic Woopir - 3cde,Blaze,55813,1,0,0
22:04:09:04:28:40.6,Sorceress - c4d5,Lunatic Woopir - f60d,Blaze,56097,1,0,0
22:04:09:04:28:40.6,Sorceress - c4d5,Mayhem Warrior - e6ea,Blaze,29794,0,0,0
22:04:09:04:28:40.6,Sorceress - c4d5,Mayhem Warrior - 958c,Blaze,29582,0,0,0
22:04:09:04:28:40.6,Sorceress - c4d5,Mayhem Warrior - 89fe,Blaze,55754,1,0,0
22:04:09:04:28:40.6,Lunatic Woopir - 4493,Striker - 1f4b,우피르_곤봉던지기,471,0,0,0
22:04:09:04:28:40.6,Sharpshooter,Mayhem Warrior - 89fe,Blade Storm,48743,0,0,0
22:04:09:04:28:40.6,Sharpshooter,Lunatic Woopir - f60d,Blade Storm,95079,1,0,0
22:04:09:04:28:40.6,Sharpshooter,Mayhem Warrior - 169d,Blade Storm,48875,0,0,0
22:04:09:04:28:40.7,Sorceress - c4d5,Lunatic Woopir - 3760,Bleed,53481,0,0,0
22:04:09:04:28:40.7,Sorceress - c4d5,Mayhem Warrior - bf8e,Bleed,53047,0,0,0
